hand_id,player_starting_hand,dealer_starting_hand,dealer_show_card,player_final_hand(s),dealer_final_hand,result(s),num_remaining_cards
36,"[10, 10]","[10, 9]",10,"[10, 10]","[10, 9]",p,115
37,"[10, 10]","[6, 10]",6,"[10, 10]","[6, 10, 7]",p,110
38,"[6, 6]","[8, 10]",8,"[6, 6, 9]","[8, 10]",p,105
39,"[9, 10]","[10, 8]",10,"[9, 10]","[10, 8]",p,101
40,"[10, 7]","[4, 9]",4,"[10, 7]","[4, 9, 7]",d,96
41,"[10, 3]","[4, 10]",4,"[10, 3]","[4, 10, 9]",p,91
42,"[6, 11]","[10, 4]",10,"[6, 1, 7, 10]","[10, 4]",d,85
43,"[6, 10]","[11, 10]",11,"[6, 10]","[11, 10]",d,81
44,"[11, 3]","[11, 11]",11,"[1, 3, 8, 4, 3]","[1, 1, 10, 2, 2, 1]",p,70
45,"[10, 10]","[10, 3]",10,"[10, 10]","[10, 3, 10]",p,65
46,"[10, 5]","[4, 10]",4,"[10, 5]","[4, 10, 10]",p,60
47,"[3, 10]","[10, 10]",10,"[3, 10, 6]","[10, 10]",d,55
48,"[10, 2]","[11, 2]",11,"[10, 2, 3, 10]","[11, 2]",d,49
49,"[10, 2]","[10, 11]",10,"[10, 2]","[10, 11]",d,45
50,"[9, 9]","[10, 5]",10,"[9, 9]","[10, 5, 10]",p,40
51,"[2, 2]","[6, 4]",6,"[[2, 11, 10], [2, 10]]","[6, 4, 6, 3]","['d', 'd']",31
52,"[7, 7]","[8, 5]",8,"[7, 7, 4]","[8, 5, 9]",p,25
53,"[5, 10]","[2, 10]",2,"[5, 10]","[2, 10, 7]",d,20
54,"[2, 10]","[10, 9]",10,"[2, 10, 5]","[10, 9]",d,307
55,"[8, 9]","[3, 9]",3,"[8, 9]","[3, 9, 10]",p,302
56,"[11, 5]","[4, 8]",4,"[11, 5, 6]","[4, 8]",d,297
57,"[10, 5]","[6, 5]",6,"[10, 5]","[6, 5, 9]",d,292
58,"[3, 7]","[10, 10]",10,"[3, 7, 10]","[10, 10]",pu,287
59,"[10, 8]","[11, 7]",11,"[10, 8]","[11, 7]",pu,283
60,"[10, 4]","[5, 3]",5,"[10, 4]","[5, 3, 7, 9]",p,277
61,"[10, 11]","[8, 8]",8,"[10, 11]","[8, 8]",pbj,273
62,"[4, 4]","[2, 5]",2,"[4, 4, 10]","[2, 5, 3, 5, 1, 5]",d,264
63,"[11, 10]","[10, 3]",10,"[11, 10]","[10, 3]",pbj,260
64,"[2, 10]","[10, 10]",10,"[2, 10, 7]","[10, 10]",d,255
65,"[8, 8]","[8, 10]",8,"[[8, 9], [8, 9]]","[8, 10]","['d', 'd']",249
66,"[10, 6]","[10, 10]",10,"[10, 6, 3]","[10, 10]",d,244
67,"[6, 3]","[10, 10]",10,"[6, 3, 8]","[10, 10]",d,239
68,"[6, 5]","[4, 7]",4,"[6, 5, 10]","[4, 7, 10]",pu,233
69,"[10, 11]","[10, 2]",10,"[10, 11]","[10, 2]",pbj,229
70,"[10, 6]","[10, 10]",10,"[10, 6, 7]","[10, 10]",d,224
71,"[10, 5]","[7, 2]",7,"[10, 5, 10]","[7, 2]",d,219
72,"[11, 10]","[10, 2]",10,"[11, 10]","[10, 2]",pbj,215
73,"[10, 7]","[10, 8]",10,"[10, 7]","[10, 8]",d,211
74,"[5, 10]","[8, 3]",8,"[5, 10, 8]","[8, 3]",d,206
75,"[3, 2]","[11, 9]",11,"[3, 2, 10, 10]","[11, 9]",d,200
76,"[2, 11]","[11, 10]",11,"[2, 11]","[11, 10]",d,196
77,"[9, 4]","[10, 4]",10,"[9, 4, 8]","[10, 4, 2, 10]",p,189
78,"[6, 9]","[4, 5]",4,"[6, 9]","[4, 5, 5, 8]",p,183
79,"[2, 5]","[7, 9]",7,"[2, 5, 10]","[7, 9, 2]",d,177
80,"[3, 10]","[11, 10]",11,"[3, 10]","[11, 10]",d,173
81,"[10, 5]","[10, 7]",10,"[10, 5, 10]","[10, 7]",d,168
82,"[4, 10]","[10, 3]",10,"[4, 10, 6]","[10, 3, 3, 2]",p,161
83,"[2, 4]","[7, 7]",7,"[2, 4, 2, 2, 5, 9]","[7, 7]",d,153
84,"[4, 7]","[7, 6]",7,"[4, 7, 6]","[7, 6, 9]",pdd,147
85,"[11, 4]","[9, 5]",9,"[1, 4, 8, 10]","[9, 5]",d,141
86,"[9, 4]","[11, 10]",11,"[9, 4]","[11, 10]",d,137
87,"[9, 10]","[4, 8]",4,"[9, 10]","[4, 8, 6]",p,132
88,"[10, 10]","[10, 9]",10,"[10, 10]","[10, 9]",p,128
89,"[5, 10]","[3, 6]",3,"[5, 10]","[3, 6, 11]",d,123
90,"[10, 9]","[6, 8]",6,"[10, 9]","[6, 8, 6]",d,118
91,"[4, 7]","[9, 11]",9,"[4, 7, 8]","[9, 11]",ddd,113
92,"[2, 5]","[3, 6]",3,"[2, 5, 6]","[3, 6, 3, 3, 9]",p,105
93,"[7, 10]","[5, 4]",5,"[7, 10]","[5, 4, 2, 10]",d,99
94,"[2, 10]","[10, 10]",10,"[2, 10, 6]","[10, 10]",d,94
95,"[4, 9]","[2, 6]",2,"[4, 9]","[2, 6, 2, 10]",d,88
96,"[10, 7]","[8, 9]",8,"[10, 7]","[8, 9]",pu,84
97,"[10, 2]","[6, 7]",6,"[10, 2]","[6, 7, 1, 4]",d,78
98,"[3, 10]","[10, 10]",10,"[3, 10, 10]","[10, 10]",d,73
99,"[11, 10]","[10, 4]",10,"[11, 10]","[10, 4]",pbj,69
100,"[6, 11]","[7, 6]",7,"[6, 11, 3]","[7, 6, 10]",p,63
